회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결),재고자산(*)(IFRS연결),매출액(수익)(*)(IFRS),재고자산(*)(IFRS),재고자산회전률
(주)매커스,93520,16-Dec,67725370,7097680,64169757,6381960,9.541902424
(주)매커스,93520,17-Dec,87364783,4918258,83872865,4918258,17.7633591
(주)맥스로텍,141070,16-Dec,40091369,2097787,40091369,2097787,19.11126773
(주)맥스로텍,141070,17-Dec,38651323,1152682,38651323,1152682,33.53164446
(주)멀티캠퍼스,67280,16-Dec,186478433,0,176065301,0,#DIV/0!
(주)멀티캠퍼스,67280,17-Dec,201225659,0,190763666,0,#DIV/0!
(주)메디아나,41920,16-Dec,53394731,11329243,52366919,10495134,4.713000772
(주)메디아나,41920,17-Dec,52362747,11273504,51225192,10634284,4.644762356
(주)메디콕스,54180,16-Jun,19522154,472895,19522154,472895,41.28221698
(주)메디콕스,54180,17-Jun,16025310,395458,16025310,395458,40.52341842
(주)메디톡스,86900,16-Dec,133255671,6879307,121761686,6495669,19.37050796
(주)메디톡스,86900,17-Dec,181239191,11609096,167864736,10968688,15.61182636
(주)메디프론디비티,65650,16-Dec,13096877,3073119,13096877,3073119,4.261753938
(주)메디프론디비티,65650,17-Dec,20910434,3297995,20910434,3297995,6.340347393
(주)메지온,140410,16-Dec,8751241,2406405,11940967,1984346,3.63664512
(주)메지온,140410,17-Dec,5585880,2736841,5585880,2557152,2.04099544
(주)메카로,241770,16-Dec,48134322,11142717,48134322,11142717,4.319801176
(주)메카로,241770,17-Dec,106038329,16222566,106038329,16222566,6.536470802
(주)메타바이오메드,59210,16-Dec,65783883,15619802,41268230,8363747,4.211569583
(주)메타바이오메드,59210,17-Dec,65341014,14632350,44185868,7271977,4.465517432
(주)멕아이씨에스,58110,16-Dec,7920354,2635999,7946574,2539715,3.004687786
(주)멕아이씨에스,58110,17-Dec,8602502,2661939,8514960,2516260,3.231667593
(주)멜파스,96640,16-Dec,83326596,24354997,83326596,24354997,3.421334685
(주)멜파스,96640,17-Dec,55841452,4814294,55841452,4814294,11.5990947
(주)모다,149940,16-Dec,93948191,7364534,47055662,4966945,12.75684123
(주)모다,149940,17-Dec,118523420,8088302,29920748,6209020,14.6536838
(주)모다이노칩,80420,16-Dec,183036443,46032276,120131089,14402718,3.976263155
(주)모다이노칩,80420,17-Dec,311755063,45900073,166579438,19101585,6.792038501
(주)모두투어네트워크,80160,16-Dec,237084495,117365,205831518,0,2020.061304
